Lot Frontage,Lot Area,Neighborhood,House Style,Overall Qual,Year Built,Exterior 1st,Mas Vnr Area,Exter Qual,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,Total Bsmt SF,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Bedroom AbvGr,Kitchen Qual,Fireplaces,Garage Type,Garage Finish,Garage Area,Paved Drive,Total Outdoor SF (Porch),Total Bath,SalePrice
60.0,8281,Sawyer,1Story,5,1965,MetalSd,0.0,TA,CBlock,TA,TA,No,Rec,864.0,Gd,Y,SBrkr,864,0,3,TA,1,Detchd,Unf,360.0,Y,236,1.0,62383
65.0,7150,Sawyer,1Story,5,1962,VinylSd,60.0,TA,CBlock,TA,TA,No,LwQ,912.0,Gd,Y,SBrkr,912,0,3,TA,0,Attchd,Unf,252.0,Y,0,1.5,123000
80.0,15676,Veenker,1Story,8,1980,VinylSd,115.0,Gd,CBlock,Gd,Gd,Gd,ALQ,2014.0,Gd,Y,SBrkr,2014,0,2,Gd,2,Attchd,RFn,864.0,Y,462,3.0,275000
89.0,11949,NoRidge,2Story,7,1991,VinylSd,196.0,Gd,PConc,Gd,TA,No,GLQ,975.0,Ex,Y,SBrkr,975,780,3,Gd,1,Attchd,Unf,524.0,Y,562,3.0,235000
32.0,2880,Somerst,2Story,7,2004,MetalSd,0.0,Gd,PConc,Gd,TA,No,Unf,1376.0,Ex,Y,SBrkr,1376,1629,3,Gd,1,BuiltIn,Fin,704.0,Y,177,2.5,280750
40.0,3951,Somerst,2Story,6,2009,VinylSd,76.0,Gd,PConc,Gd,TA,Av,Unf,612.0,Ex,Y,SBrkr,612,612,2,Gd,0,Detchd,RFn,528.0,Y,234,2.5,164500
30.0,3000,Somerst,2Story,6,2009,VinylSd,76.0,Gd,PConc,Gd,TA,Av,GLQ,612.0,Ex,Y,SBrkr,612,612,2,Gd,0,Detchd,RFn,528.0,Y,234,2.5,173733
72.5,3830,Somerst,1Story,6,2008,VinylSd,280.0,Gd,PConc,Gd,TA,No,Unf,1726.0,Ex,Y,SBrkr,1726,0,2,Gd,1,Attchd,Fin,561.0,Y,254,2.5,222000
72.5,4217,Somerst,1Story,6,2008,VinylSd,252.0,Gd,PConc,Gd,TA,No,GLQ,1145.0,Ex,Y,SBrkr,1256,0,1,Gd,1,Attchd,Fin,641.0,Y,169,2.5,195000
34.0,3230,Somerst,2Story,6,1999,MetalSd,894.0,TA,PConc,Gd,TA,No,GLQ,729.0,Gd,Y,SBrkr,742,729,3,TA,0,Detchd,Unf,440.0,Y,24,2.5,172500
34.0,2998,Somerst,2Story,6,2000,MetalSd,513.0,Gd,PConc,Gd,TA,No,GLQ,756.0,Ex,Y,SBrkr,756,756,2,Gd,0,Detchd,Unf,440.0,Y,32,3.5,180000
35.0,3768,Somerst,2Story,7,1999,MetalSd,218.0,Gd,PConc,Gd,TA,No,GLQ,691.0,Ex,Y,SBrkr,713,739,3,Gd,0,Detchd,Unf,506.0,Y,34,3.5,156000
24.0,2645,Somerst,2Story,8,1999,MetalSd,456.0,Gd,PConc,Gd,TA,No,GLQ,970.0,Ex,Y,SBrkr,983,756,3,Gd,0,Attchd,Fin,480.0,Y,115,3.5,172500
80.0,14694,Veenker,1Story,8,1977,MetalSd,450.0,Ex,CBlock,Gd,Gd,Gd,GLQ,1694.0,Ex,Y,SBrkr,1694,0,2,Ex,1,Attchd,Fin,642.0,Y,621,3.0,318750
61.0,3782,Greens,1Story,8,1981,Wd Sdng,0.0,Gd,CBlock,Gd,TA,Gd,GLQ,1226.0,TA,Y,SBrkr,1226,0,1,Gd,2,Attchd,Fin,484.0,Y,211,2.0,211500
110.0,15417,Veenker,1Story,7,1981,BrkFace,0.0,Gd,CBlock,Gd,TA,Mn,LwQ,1740.0,TA,Y,SBrkr,1740,0,2,Gd,0,Attchd,RFn,540.0,Y,466,1.5,241600
80.0,9600,Veenker,SLvl,8,1976,Plywood,200.0,Gd,CBlock,TA,TA,No,Unf,392.0,Ex,Y,SBrkr,1487,1012,4,TA,1,Attchd,Unf,527.0,Y,64,2.5,180500
72.0,9991,Sawyer,1Story,4,1976,Plywood,0.0,TA,CBlock,TA,TA,No,BLQ,1281.0,Ex,Y,SBrkr,1620,0,3,TA,1,Attchd,Unf,490.0,Y,198,3.0,150000
78.0,11700,NWAmes,2Story,6,1968,MetalSd,0.0,TA,CBlock,TA,TA,No,Rec,727.0,Ex,Y,SBrkr,829,727,4,TA,0,Attchd,Unf,441.0,Y,0,1.5,154000
80.0,11717,NWAmes,1Story,6,1970,HdBoard,571.0,TA,CBlock,TA,TA,No,Unf,1442.0,TA,Y,SBrkr,1442,0,2,TA,1,Attchd,RFn,615.0,Y,371,2.0,185000
80.0,9156,NWAmes,1Story,6,1968,BrkFace,0.0,TA,CBlock,TA,TA,No,Unf,1489.0,Gd,Y,SBrkr,1489,0,3,Gd,1,Attchd,RFn,462.0,Y,0,2.0,185750
80.0,10382,NWAmes,2Story,7,1973,HdBoard,240.0,TA,CBlock,Gd,TA,Mn,ALQ,1107.0,Ex,Y,SBrkr,1107,983,3,TA,2,Attchd,RFn,484.0,Y,667,3.5,200000
80.0,12732,NWAmes,2Story,7,1974,VinylSd,0.0,TA,CBlock,TA,TA,Mn,GLQ,752.0,TA,Y,SBrkr,1285,782,3,Gd,2,Attchd,RFn,784.0,Y,337,2.5,206000
80.0,12936,NWAmes,2Story,6,1972,HdBoard,0.0,TA,CBlock,TA,Gd,No,BLQ,723.0,TA,Y,SBrkr,735,660,3,TA,1,Attchd,Unf,497.0,Y,410,2.0,162000
80.0,10400,NWAmes,2Story,6,1967,MetalSd,256.0,TA,PConc,TA,TA,No,Unf,932.0,Gd,Y,SBrkr,1271,1369,5,Gd,1,Attchd,RFn,515.0,Y,288,2.5,256900
80.0,17871,NWAmes,SLvl,6,1967,HdBoard,359.0,TA,CBlock,Gd,TA,Av,ALQ,1680.0,Fa,Y,SBrkr,1724,0,3,TA,1,Attchd,RFn,480.0,Y,0,2.5,197900
80.0,9600,NWAmes,1Story,5,1969,HdBoard,128.0,TA,CBlock,Gd,TA,Mn,ALQ,1288.0,TA,Y,SBrkr,1336,0,3,TA,1,Attchd,RFn,502.0,Y,323,2.5,163000
75.0,9000,NWAmes,1Story,6,1969,HdBoard,200.0,TA,CBlock,TA,TA,Av,BLQ,1216.0,TA,Y,SBrkr,1216,0,3,TA,0,Attchd,Unf,336.0,Y,0,2.0,113000
80.0,13774,NWAmes,2Story,7,1977,HdBoard,283.0,TA,PConc,Gd,TA,No,GLQ,908.0,Ex,Y,SBrkr,1316,972,4,Gd,2,Attchd,RFn,520.0,Y,549,2.0,230000
80.0,9650,NWAmes,1Story,6,1977,Plywood,360.0,TA,CBlock,Gd,TA,No,ALQ,1350.0,TA,Y,SBrkr,1334,0,2,TA,1,Attchd,RFn,630.0,Y,16,2.5,167900
78.0,10140,NWAmes,1Story,7,1998,VinylSd,0.0,Gd,PConc,Ex,TA,No,LwQ,1650.0,Ex,Y,SBrkr,1680,0,3,Gd,1,Attchd,Fin,583.0,Y,151,3.0,213250
70.0,8400,NWAmes,2Story,8,2001,VinylSd,0.0,Gd,PConc,Gd,TA,No,GLQ,810.0,Ex,Y,SBrkr,810,855,3,Gd,0,Attchd,Fin,528.0,Y,45,3.5,227000
62.0,7130,NAmes,1Story,5,1967,HdBoard,0.0,TA,PConc,TA,TA,No,BLQ,864.0,TA,Y,SBrkr,864,0,2,TA,0,Attchd,Fin,312.0,Y,0,1.5,130000
80.0,9600,NAmes,1Story,5,1967,HdBoard,0.0,TA,CBlock,TA,TA,No,Unf,1568.0,TA,Y,SBrkr,1568,0,3,TA,0,Attchd,Unf,440.0,Y,200,1.5,143000
70.0,9100,NAmes,1Story,5,1965,VinylSd,0.0,TA,CBlock,TA,TA,No,BLQ,925.0,Ex,Y,SBrkr,925,0,2,TA,0,Detchd,Unf,429.0,Y,0,1.5,117500
80.0,9600,NWAmes,2Story,7,1974,Plywood,252.0,TA,CBlock,TA,TA,No,ALQ,1165.0,Gd,Y,SBrkr,1165,896,4,TA,1,Attchd,RFn,498.0,Y,273,3.0,168500
80.0,16500,NWAmes,SFoyer,6,1971,HdBoard,509.0,TA,CBlock,Gd,TA,Av,GLQ,1232.0,Fa,Y,SBrkr,1320,0,3,TA,1,Attchd,RFn,495.0,Y,20,2.5,172500
80.0,9790,NWAmes,1Story,6,1967,BrkFace,0.0,TA,CBlock,TA,TA,No,Rec,1372.0,TA,Y,SBrkr,1342,0,3,TA,1,Attchd,Unf,457.0,Y,197,2.0,161500
60.0,7436,NAmes,1Story,4,1960,VinylSd,0.0,TA,CBlock,TA,TA,No,ALQ,894.0,Gd,Y,SBrkr,894,0,2,TA,1,Detchd,Unf,396.0,Y,0,2.0,141500
65.0,8125,NAmes,1Story,5,1959,MetalSd,0.0,TA,CBlock,TA,TA,No,BLQ,864.0,Ex,Y,SBrkr,864,0,3,TA,0,Detchd,Unf,308.0,Y,0,1.0,118000
70.0,9100,NAmes,1Story,6,1959,Wd Sdng,0.0,TA,CBlock,TA,TA,No,Rec,864.0,Ex,Y,SBrkr,864,0,2,TA,0,Detchd,Unf,300.0,Y,0,1.0,127500
73.0,9450,NAmes,1Story,4,1957,Wd Sdng,160.0,TA,CBlock,TA,TA,No,BLQ,1040.0,TA,Y,SBrkr,1362,0,3,TA,1,Attchd,RFn,768.0,Y,84,2.0,140000
73.0,13495,NAmes,1Story,5,1956,Wd Sdng,70.0,TA,CBlock,TA,TA,No,BLQ,1048.0,Fa,Y,SBrkr,1728,0,3,TA,1,Detchd,Unf,576.0,Y,99,3.0,177625
85.0,11475,NAmes,1Story,5,1958,VinylSd,95.0,TA,CBlock,TA,TA,No,Unf,1584.0,TA,Y,SBrkr,1776,0,4,TA,0,Detchd,Unf,888.0,Y,25,3.0,110000
100.0,10004,NAmes,1Story,6,1964,HdBoard,180.0,TA,CBlock,TA,TA,No,Rec,1516.0,TA,Y,SBrkr,1516,0,3,TA,0,Attchd,RFn,472.0,Y,152,1.5,167000
85.0,9350,NAmes,1Story,5,1961,Wd Sdng,217.0,TA,CBlock,TA,TA,No,ALQ,1313.0,TA,Y,SBrkr,1313,0,3,Gd,1,Attchd,RFn,610.0,Y,321,2.5,153000
115.0,10500,NAmes,1Story,5,1964,HdBoard,144.0,TA,CBlock,TA,TA,No,LwQ,1292.0,TA,Y,SBrkr,1292,0,3,TA,2,Detchd,Unf,520.0,Y,124,2.5,145100
73.0,11000,NAmes,1Story,5,1966,Plywood,200.0,TA,CBlock,TA,TA,Mn,BLQ,1154.0,Ex,Y,SBrkr,1154,0,3,TA,1,Attchd,RFn,480.0,Y,58,1.5,154000
73.0,8970,NAmes,2Story,5,1965,MetalSd,0.0,TA,CBlock,TA,TA,No,ALQ,744.0,TA,Y,SBrkr,825,1315,4,TA,1,Attchd,Fin,549.0,Y,304,2.5,177500
73.0,12095,NAmes,SLvl,6,1964,MetalSd,115.0,TA,CBlock,TA,TA,Gd,Rec,1127.0,TA,Y,SBrkr,1445,0,3,TA,1,Attchd,RFn,645.0,Y,180,1.5,158000
80.0,9600,NAmes,1Story,5,1959,MetalSd,132.0,TA,CBlock,TA,TA,No,ALQ,1041.0,Ex,Y,SBrkr,1041,0,3,TA,0,Attchd,RFn,270.0,Y,312,2.0,124500
85.0,11475,NAmes,SLvl,6,1961,HdBoard,90.0,TA,CBlock,TA,TA,Gd,ALQ,1208.0,Ex,Y,SBrkr,1576,0,4,Gd,1,BuiltIn,Fin,368.0,Y,85,2.0,174500
68.0,9768,NAmes,1Story,5,1955,Wd Sdng,0.0,TA,CBlock,TA,TA,No,Rec,960.0,Gd,Y,SBrkr,960,0,2,TA,0,Attchd,RFn,330.0,Y,70,2.0,122000
50.0,5330,BrkSide,1Story,4,1940,VinylSd,0.0,Fa,CBlock,TA,TA,No,LwQ,420.0,Gd,Y,SBrkr,708,0,2,Fa,0,None,None,0.0,Y,164,1.0,82500
51.0,7015,BrkSide,1.5Fin,5,1950,MetalSd,161.0,TA,CBlock,TA,TA,No,LwQ,709.0,TA,Y,SBrkr,979,224,3,Gd,1,Detchd,Unf,352.0,Y,248,2.0,110000
128.0,12160,NAmes,1Story,6,1953,Wd Sdng,90.0,TA,CBlock,TA,TA,No,BLQ,1505.0,Ex,Y,SBrkr,1505,0,2,TA,1,Attchd,RFn,505.0,Y,0,2.0,149500
90.0,9900,NAmes,1Story,6,1967,BrkComm,0.0,Gd,CBlock,TA,TA,No,Rec,1680.0,TA,Y,SBrkr,1691,0,2,TA,0,Attchd,Unf,550.0,Y,327,2.0,175000
80.0,9600,NAmes,1Story,6,1953,HdBoard,238.0,TA,CBlock,TA,TA,No,GLQ,1416.0,TA,Y,SBrkr,1644,0,3,TA,2,Attchd,Fin,418.0,Y,110,2.0,167000
80.0,9600,NAmes,1Story,5,1956,MetalSd,0.0,TA,CBlock,TA,TA,No,Rec,1050.0,Gd,Y,SBrkr,1050,0,2,TA,0,Attchd,Unf,338.0,Y,0,1.0,128900
80.0,9600,NAmes,1.5Fin,6,1950,VinylSd,0.0,TA,CBlock,TA,TA,No,BLQ,856.0,Ex,Y,SBrkr,1112,556,3,TA,0,Attchd,Unf,271.0,Y,0,1.5,140000
80.0,9600,NAmes,1Story,5,1950,MetalSd,0.0,Gd,CBlock,TA,TA,No,ALQ,1113.0,Gd,Y,SBrkr,1113,0,3,Gd,1,Attchd,Unf,264.0,Y,200,1.0,147000
65.0,8944,NAmes,1Story,5,1967,Plywood,0.0,TA,CBlock,TA,TA,No,Unf,1584.0,TA,Y,SBrkr,1584,0,4,TA,0,Detchd,Unf,792.0,Y,152,2.0,124000
92.0,10573,NAmes,1Story,6,1961,MetalSd,3.0,TA,CBlock,TA,TA,No,Rec,1453.0,Ex,Y,SBrkr,1453,0,3,TA,1,Attchd,RFn,530.0,Y,337,3.0,187500
73.0,9500,NAmes,1Story,6,1963,Plywood,247.0,TA,CBlock,Gd,TA,No,BLQ,1394.0,Gd,Y,SBrkr,1394,0,3,TA,2,Attchd,RFn,514.0,Y,261,2.5,159000
80.0,14695,NAmes,1Story,6,1966,MetalSd,210.0,TA,CBlock,TA,TA,No,ALQ,1562.0,Gd,Y,SBrkr,1567,0,2,Gd,2,Attchd,Unf,542.0,Y,452,3.0,256000
85.0,13600,NAmes,2Story,7,1965,HdBoard,176.0,TA,CBlock,TA,TA,No,BLQ,768.0,TA,Y,SBrkr,1186,800,3,TA,3,Attchd,Unf,486.0,Y,231,2.5,205000
100.0,13000,NAmes,2Story,6,1968,VinylSd,576.0,TA,CBlock,Gd,TA,No,Rec,896.0,TA,Y,SBrkr,1182,960,4,Gd,1,Attchd,Fin,509.0,Y,324,2.5,193500
120.0,13560,NAmes,1Story,6,1968,Wd Sdng,216.0,TA,CBlock,Fa,Fa,No,Unf,1392.0,Gd,Y,SBrkr,1392,0,2,TA,2,Attchd,RFn,576.0,Y,240,2.0,110000
73.0,12513,NAmes,1.5Fin,4,1920,VinylSd,0.0,TA,BrkTil,TA,Fa,No,Unf,715.0,Gd,Y,SBrkr,1281,457,4,TA,1,Attchd,Unf,368.0,Y,55,2.0,104900
73.0,8760,NAmes,1Story,5,1956,Wd Sdng,164.0,Gd,CBlock,TA,TA,No,ALQ,1169.0,TA,Y,SBrkr,1144,0,3,TA,0,Attchd,RFn,286.0,Y,257,2.0,150000
70.0,8400,NAmes,1Story,6,1957,BrkFace,0.0,TA,CBlock,TA,TA,No,ALQ,1478.0,Gd,Y,SBrkr,1478,0,3,TA,2,Attchd,RFn,442.0,Y,330,2.5,156500
73.0,12285,NAmes,1Story,7,1960,Plywood,128.0,TA,CBlock,TA,TA,No,BLQ,1329.0,Gd,Y,SBrkr,1329,0,3,TA,2,Attchd,Unf,441.0,Y,203,1.5,176000
66.0,9240,NAmes,1Story,6,1959,MetalSd,0.0,Gd,CBlock,TA,TA,No,ALQ,988.0,TA,Y,SBrkr,988,0,3,Gd,0,Attchd,Unf,297.0,Y,156,3.0,149500
80.0,9600,NAmes,1Story,6,1958,Wd Sdng,183.0,TA,CBlock,TA,TA,No,Rec,1240.0,Gd,Y,SBrkr,1632,0,3,TA,1,Attchd,RFn,338.0,Y,289,3.0,139000
66.0,12400,NAmes,1Story,6,1958,Wd Sdng,176.0,TA,CBlock,TA,Fa,No,Rec,1215.0,TA,Y,FuseA,1215,0,3,TA,0,Attchd,Unf,297.0,Y,234,1.0,155000
70.0,8750,NAmes,1Story,5,1956,BrkFace,0.0,TA,CBlock,TA,TA,No,Rec,1202.0,TA,Y,SBrkr,1202,0,3,TA,0,Attchd,RFn,304.0,Y,155,1.5,120000
70.0,8750,NAmes,1Story,5,1955,AsbShng,0.0,TA,CBlock,TA,TA,No,Rec,1382.0,Gd,Y,FuseA,1382,0,3,Gd,0,Attchd,Unf,350.0,Y,280,1.5,153000
80.0,10400,NAmes,1Story,4,1956,Plywood,0.0,TA,CBlock,TA,TA,No,Rec,1200.0,TA,Y,SBrkr,1200,0,3,TA,2,Attchd,Unf,294.0,Y,329,2.0,144000
120.0,19296,NAmes,SLvl,6,1962,Wd Sdng,399.0,TA,CBlock,TA,TA,Gd,Rec,1362.0,TA,Y,SBrkr,1382,0,3,TA,1,Attchd,Unf,884.0,Y,252,2.0,176000
74.0,8532,NAmes,1Story,5,1954,Wd Sdng,650.0,TA,CBlock,TA,TA,No,Rec,1297.0,Gd,Y,SBrkr,1297,0,3,TA,1,Attchd,Fin,498.0,Y,0,1.5,153000
76.0,9482,NAmes,1Story,5,1958,Wd Sdng,657.0,TA,PConc,TA,TA,No,Unf,1866.0,Ex,Y,SBrkr,1866,0,4,TA,0,Detchd,Unf,495.0,Y,0,2.0,135000
53.0,8128,NAmes,1Story,6,1954,MetalSd,80.0,TA,CBlock,TA,TA,No,ALQ,1062.0,Gd,Y,SBrkr,1062,0,3,TA,0,Attchd,Unf,297.0,Y,0,2.0,131000
79.0,10634,NAmes,1Story,5,1953,MetalSd,0.0,TA,PConc,TA,TA,No,BLQ,608.0,TA,Y,SBrkr,1319,0,3,TA,0,Attchd,Unf,270.0,Y,66,2.0,123000
67.0,13070,NAmes,1Story,5,1951,MetalSd,0.0,TA,CBlock,TA,TA,No,Rec,631.0,TA,Y,FuseA,1112,0,2,TA,0,Basment,Unf,480.0,Y,255,1.0,126000
60.0,10434,NAmes,1Story,4,1955,Plywood,0.0,TA,CBlock,TA,TA,No,Unf,1005.0,TA,Y,SBrkr,1005,0,2,Fa,1,Detchd,Unf,672.0,Y,0,1.0,115000
75.0,14559,NAmes,1Story,5,1951,Wd Sdng,70.0,Gd,CBlock,TA,TA,No,BLQ,1008.0,Ex,Y,SBrkr,1363,0,2,TA,2,CarPort,Unf,288.0,Y,534,2.0,164900
80.0,8480,NAmes,1Story,5,1945,MetalSd,0.0,TA,CBlock,TA,TA,No,BLQ,793.0,TA,Y,SBrkr,793,0,2,Fa,0,Detchd,Unf,240.0,Y,0,2.0,113000
60.0,7626,NAmes,1Story,5,1952,Wd Sdng,0.0,Gd,CBlock,TA,TA,No,GLQ,1031.0,Gd,Y,SBrkr,1031,0,2,Gd,0,Attchd,Unf,230.0,Y,0,2.0,145500
75.0,9533,NAmes,1Story,5,1953,Wd Sdng,140.0,TA,Slab,None,None,None,None,0.0,TA,Y,FuseA,1210,0,2,TA,0,Attchd,Fin,616.0,Y,308,1.5,102900
107.0,10615,OldTown,2Story,3,1900,HdBoard,0.0,TA,CBlock,Fa,TA,Mn,BLQ,978.0,TA,Y,SBrkr,1014,685,3,TA,0,CarPort,Unf,420.0,Y,74,3.0,95000
78.0,11419,NAmes,2Story,7,1948,WdShing,0.0,TA,CBlock,TA,TA,Mn,ALQ,699.0,Ex,Y,FuseA,801,726,3,TA,1,Attchd,Unf,410.0,Y,134,2.5,152500
60.0,9600,NAmes,1Story,5,1950,Wd Sdng,0.0,TA,CBlock,TA,TA,No,BLQ,1200.0,TA,Y,SBrkr,1200,0,3,TA,0,Attchd,Fin,246.0,Y,126,1.0,129900
50.0,8000,NAmes,1Story,6,1948,VinylSd,0.0,TA,CBlock,TA,TA,No,ALQ,972.0,Ex,Y,SBrkr,972,0,2,TA,1,Detchd,Unf,240.0,Y,0,2.0,132000
53.0,5470,OldTown,1Story,3,1958,MetalSd,0.0,TA,CBlock,TA,TA,No,Unf,792.0,Gd,Y,FuseA,792,0,2,TA,0,Attchd,Unf,366.0,Y,90,1.0,99900
60.0,10410,OldTown,1.5Fin,5,1916,HdBoard,0.0,TA,CBlock,Fa,TA,No,Unf,660.0,Ex,Y,SBrkr,808,704,3,TA,0,Detchd,Unf,180.0,N,0,2.5,135000
60.0,10800,OldTown,2Story,5,1939,VinylSd,0.0,TA,BrkTil,TA,TA,No,Unf,676.0,Ex,Y,SBrkr,676,676,4,Gd,0,Detchd,Unf,720.0,Y,315,2.5,149000
80.0,8146,OldTown,2Story,4,1900,MetalSd,0.0,Gd,BrkTil,Fa,TA,No,Unf,405.0,Gd,Y,SBrkr,717,322,2,TA,0,Detchd,Unf,281.0,N,279,1.0,114000
52.0,9022,OldTown,1Story,5,1924,VinylSd,0.0,Gd,BrkTil,TA,TA,No,Unf,768.0,Ex,Y,SBrkr,792,0,2,Gd,0,Detchd,Unf,240.0,N,436,1.0,109500
60.0,10230,OldTown,1Story,5,1925,MetalSd,0.0,TA,BrkTil,TA,TA,No,Unf,1054.0,Ex,Y,SBrkr,1078,0,3,Ex,0,Detchd,Unf,264.0,N,112,1.0,125000
60.0,10410,OldTown,1.5Fin,4,1915,MetalSd,0.0,TA,BrkTil,TA,TA,No,Unf,1313.0,TA,Y,SBrkr,1313,0,3,Gd,1,Detchd,Unf,528.0,Y,432,2.0,142900
60.0,7200,OldTown,2Story,7,1910,VinylSd,0.0,Gd,PConc,TA,TA,No,Unf,560.0,Ex,Y,SBrkr,930,760,4,Gd,0,Detchd,Unf,624.0,Y,112,2.0,156500
90.0,5400,OldTown,1Story,2,1940,Stucco,0.0,Fa,PConc,Fa,TA,No,Unf,416.0,Gd,N,FuseA,599,0,2,Gd,0,None,None,0.0,N,81,2.0,59000
90.0,5400,OldTown,1.5Fin,4,1920,CBlock,0.0,Fa,PConc,TA,TA,No,ALQ,840.0,Ex,Y,SBrkr,840,534,2,TA,0,Detchd,Fin,338.0,Y,198,1.0,105000
60.0,10800,OldTown,1Story,5,1920,Wd Sdng,0.0,TA,BrkTil,TA,TA,No,Unf,720.0,TA,N,SBrkr,846,0,2,Gd,0,Detchd,Fin,576.0,N,0,1.0,106000
60.0,10800,OldTown,1Story,3,1890,VinylSd,0.0,TA,BrkTil,TA,TA,No,Unf,630.0,TA,Y,FuseA,725,0,1,TA,0,Detchd,Unf,320.0,Y,30,1.5,78500
81.0,9671,NAmes,2Story,6,1969,MetalSd,480.0,TA,CBlock,TA,TA,No,Unf,1248.0,TA,Y,SBrkr,1248,1296,6,TA,0,Attchd,RFn,907.0,Y,0,3.0,190000
83.0,10143,NAmes,1Story,6,1963,HdBoard,295.0,TA,CBlock,TA,TA,No,Rec,1380.0,Fa,Y,SBrkr,1380,0,3,TA,0,Attchd,Unf,364.0,Y,216,1.5,154000
77.0,11500,NAmes,1Story,6,1967,HdBoard,0.0,Fa,CBlock,TA,Fa,No,BLQ,1040.0,Gd,Y,SBrkr,1040,0,3,TA,1,Attchd,RFn,480.0,Y,156,2.0,163000
91.0,11643,NAmes,2Story,5,1969,MetalSd,368.0,TA,CBlock,TA,TA,No,LwQ,1248.0,TA,Y,SBrkr,1338,1296,6,TA,0,Detchd,Unf,968.0,Y,0,4.5,200000
62.0,8010,NAmes,1Story,6,1958,Wd Sdng,0.0,Gd,CBlock,TA,TA,Mn,GLQ,951.0,Gd,Y,SBrkr,951,0,2,Gd,0,Detchd,Unf,480.0,Y,42,2.0,143500
90.0,10454,NAmes,1Story,6,1957,Plywood,143.0,TA,CBlock,TA,TA,No,Rec,1105.0,Gd,Y,FuseA,1105,0,3,TA,0,Detchd,Unf,308.0,Y,0,1.0,135000
64.0,8712,NAmes,1Story,5,1957,MetalSd,0.0,TA,CBlock,TA,TA,Mn,BLQ,992.0,TA,Y,SBrkr,1306,0,2,TA,0,Detchd,Unf,756.0,Y,0,2.0,153000
73.0,17600,NAmes,1Story,6,1960,Wd Sdng,30.0,TA,CBlock,TA,TA,No,BLQ,1478.0,Ex,Y,FuseA,1478,0,3,TA,2,Attchd,Unf,498.0,Y,40,3.0,157500
80.0,9000,NAmes,1Story,6,1958,Wd Sdng,82.0,TA,CBlock,Gd,TA,Gd,Unf,160.0,Fa,Y,SBrkr,1142,0,2,TA,1,Basment,RFn,384.0,Y,92,1.0,113500
60.0,12144,NAmes,1Story,5,1949,HdBoard,0.0,Gd,CBlock,TA,TA,No,Rec,832.0,Gd,Y,SBrkr,1036,0,3,TA,1,Attchd,Unf,288.0,Y,28,1.0,133000
60.0,8544,NAmes,1Story,3,1950,BrkFace,0.0,TA,Slab,None,None,None,None,0.0,Fa,N,FuseA,1040,0,2,TA,0,Detchd,Unf,400.0,Y,0,2.0,92900
60.0,8064,NAmes,1.5Fin,6,1950,Wd Sdng,0.0,TA,CBlock,TA,TA,Av,Rec,795.0,Gd,N,SBrkr,765,368,3,TA,0,Detchd,Unf,900.0,Y,231,1.0,128500
60.0,7200,NAmes,1Story,4,1949,BrkFace,0.0,TA,Slab,None,None,None,None,0.0,Fa,N,FuseF,1040,0,2,TA,0,Detchd,Unf,420.0,Y,0,2.0,90000
60.0,7200,NAmes,1.5Fin,5,1950,VinylSd,0.0,TA,CBlock,TA,TA,No,Rec,1208.0,Gd,Y,FuseA,1136,768,3,TA,0,Attchd,Unf,240.0,Y,168,2.5,138000
71.0,7350,NAmes,1Story,5,1958,BrkFace,0.0,TA,CBlock,TA,TA,No,Unf,1041.0,Gd,Y,SBrkr,1041,0,3,TA,0,Attchd,RFn,294.0,Y,0,1.0,128000
70.0,7560,NAmes,1Story,5,1958,BrkFace,0.0,TA,CBlock,TA,TA,No,LwQ,1029.0,TA,Y,SBrkr,1339,0,3,TA,0,Attchd,Unf,294.0,Y,0,1.0,139000
60.0,7200,NAmes,1Story,5,1952,MetalSd,0.0,TA,CBlock,TA,Gd,No,ALQ,732.0,TA,Y,SBrkr,732,0,2,TA,0,Detchd,Unf,240.0,Y,68,2.0,118900
80.0,8000,NAmes,SLvl,5,1959,BrkFace,0.0,TA,CBlock,Gd,TA,Av,GLQ,528.0,TA,Y,SBrkr,1183,0,3,TA,0,Attchd,RFn,288.0,Y,0,2.0,138000
70.0,7931,NAmes,1Story,5,1959,BrkFace,0.0,TA,CBlock,TA,TA,No,BLQ,1148.0,TA,Y,SBrkr,1148,0,3,TA,0,Attchd,Unf,672.0,Y,0,2.0,132500
60.0,10800,NAmes,1.5Fin,4,1949,MetalSd,0.0,TA,CBlock,TA,TA,No,Unf,832.0,TA,Y,FuseF,832,629,4,TA,0,Detchd,Unf,384.0,Y,204,2.0,133500
60.0,8064,NAmes,1.5Fin,6,1948,MetalSd,0.0,TA,CBlock,TA,TA,No,LwQ,864.0,TA,Y,SBrkr,1064,0,3,TA,0,Detchd,Unf,576.0,Y,216,1.0,135000
76.0,7570,NAmes,2Story,6,1964,HdBoard,420.0,TA,CBlock,TA,TA,No,Unf,780.0,TA,Y,SBrkr,993,813,4,TA,0,Attchd,Unf,483.0,Y,55,1.5,144750
75.0,8604,NAmes,SFoyer,5,1978,Plywood,124.0,TA,CBlock,Gd,TA,Av,GLQ,941.0,Gd,Y,SBrkr,941,0,2,Gd,0,Attchd,Unf,564.0,Y,40,2.0,145000
